æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
ædmaɪə:admire;æ:a,dmaɪ:dmi,ə:re;~æ~aɪ~ə~
ædmɪʃən:admission;æ:a,dmɪ:dmi,ʃə:ssio,n:n;~æ~ɪ~ə~1,~
ædvæntɪdʒ:advantage;æ:a,dvæ:dva,ntɪ:nta,dʒ:ge;~æ~æ~ɪ~1,~
ædvaɪs:advice;æ:a,dvaɪ:dvi,s:ce;~æ~aɪ~1,~
ædvaɪz:advise;æ:a,dvaɪ:dvi,z:se;~æ~aɪ~1,~
ædvɛntʃəɹ:adventure;æ:a,dvɛ:dve,ntʃə:ntu,ɹ:re;~æ~ɛ~ə~1,~
ædvɜɹtəzmənt:advertisement;æ:a,dvɜ:dve,ɹtə:rti,zmə:seme,nt:nt;~æ~ɜ~ə~ə~1,~
æksɛpt:accept;æ:a,ksɛ:cce,pt:pt;~æ~ɛ~1,~
æksɛptəbl:acceptable;æ:a,ksɛ:cce,ptə:pta,bl:ble;~æ~ɛ~ə~1,~
æktɪvɪtɪ:activity;æ:a,ktɪ:cti,vɪ:vi,tɪ:ty;~æ~ɪ~ɪ~ɪ~
æktɪvɪtɪz:activities;æ:a,ktɪ:cti,vɪ:vi,tɪ:tie,z:s;~æ~ɪ~ɪ~ɪ~2,~
ælɡoʊmə:algoma;æ:a,lɡoʊ:lgo,mə:ma;~æ~oʊ~ə~
æmbɪʃən:ambition;æ:a,mbɪ:mbi,ʃə:tio,n:n;~æ~ɪ~ə~1,~
æmbɪʃəs:ambitious;æ:a,mbɪ:mbi,ʃə:tiou,s:s;~æ~ɪ~ə~1,~
ænælɪsɪs:analysis;æ:a,næ:na,lɪ:ly,sɪ:si,s:s;~æ~æ~ɪ~ɪ~2,~
æŋzaɪətɪ:anxiety;æ:a,ŋzaɪ:nxi,ə:e,tɪ:ty;~æ~aɪ~ə~ɪ~
æbsəlut:absolute;æ:a,bsə:bso,lu:lu,t:te;~æ~ə~u~1,~
æbsəns:absence;æ:a,bsə:bse,ns:nce;~æ~ə~1,~
æbsənt:absent;æ:a,bsə:bse,nt:nt;~æ~ə~1,~
æbəɹt:abert;æ:a,bə:be,ɹt:rt;~æ~ə~1,~
æd:add;æ:a,d:dd;~æ~2,~
ædvəɹb:adverb;æ:a,dvə:dve,ɹb:rb;~æ~ə~1,~
ædvəɹsɛɹɪz:adversaries;æ:a,dvə:dve,ɹsɛ:rsa,ɹɪ:rie,z:s;~æ~ə~ɛ~ɪ~1,~
ædvəɹtaɪz:advertise;æ:a,dvə:dve,ɹtaɪ:rti,z:se;~æ~ə~aɪ~1,~
ædɪd:added;æ:a,dɪ:dde,d:d;~æ~ɪ~2,~
ædəmstaʊn:adamstown;æ:a,də:da,ms:ms,taʊ:tow,n:n;~æ~ə~1,~aʊ~1,~
ædʒɪktɪv:adjective;æ:a,dʒɪ:dje,ktɪ:cti,v:ve;~æ~ɪ~ɪ~1,~
ædɹɛs:address;æ:a,dɹɛ:ddre,s:ss;~æ~ɛ~2,~
æftəɹ:after;æ:a,ftə:fte,ɹ:r;~æ~ə~2,~
æftəɹwəɹdz:afterwards;æ:a,ftə:fte,ɹwə:rwa,ɹdz:rds;~æ~ə~ə~1,~
æfɹɪkə:africa;æ:a,fɹɪ:fri,kə:ca;~æ~ɪ~ə~
æks:ax;æ:a,ks:x;~æ~1,~
æks:axe;æ:a,ks:xe;~æ~1,~
æksədənt:accident;æ:a,ksə:cci,də:de,nt:nt;~æ~ə~ə~1,~
