aː1bmt,A/bend
aː1bɛ0t,A/be/nd
aɛ1ntsl,Ei/nzel
aɛ1zn,Ei/sen
ɛ1sn,e/ssen
ɪ1nzl,I/nsel
oː1bm,o/ben
ɔ1ʁɡl,O/rgel
ʊ1ntn,u/nten
aː1ʁt,A/rt
aː1ʁtst,A/rzt
aɛ1,Ei/
aɛ1n,ei/n
aɛ1s,Ei/s
a1kt,A/kt
a1ls,a/ls
a1lt,a/lt
a1m,a/m
a1ŋst,A/ngst
aɔ1f,au/f
aɔ1s,au/s
aɔ1x,au/ch
a1ʁm,A/rm
a1ʁtst,A/rzt
a1xt,a/cht
biː1tn,bie/ten
boː1dn,Bo/den
baɛ1,bei/
baɛ1n,Bei/n
ba1ŋk,Ba/nk
bɛ1nt,Ba/nd
bɛ1ʁk,Be/rg
bɛ1t,Be/tt
bɪ1lt,Bi/ld
bɪ1s,bi/s
bɪ1t,Bi/t
blaɔ1,blau/
bla1t,Bla/tt
blɔ1k,Bl/ock
bʁaɛ1t,brei/t
bʁaɔ1n,brau/n
buː1x,Bu/ch
dɛ1ŋkŋ,de/nken
daː1,da/
diː1,die/
diː1s,die/s
dɪ1k,di/ck
dɔ1ʁf,Do/rf
dʁʏ1kŋ,drü/cken
dʁaː1t,Drah/t
dʁaɛ1,drei/
dʊ1ʁç,du/rch
fɔ1lɡŋ,fo/lgen
faɛ1n,fei/n
fa1ln,fa/llen
fa1lʃ,fa/lsch
fa1ŋ,Fa/ng
fɛ1lt,Fe/ld
fiː1l,fie/l
fɪ1lts,Fi/lz
fɪ1ʃ,Fi/sch
fliː1ɡŋ,flie/gen
fliː1sn,flie/ßen
flyː1ɡl,Flü/gel
fɔ1n,vo/n
fʁaɔ1,Frau/
fʁoː1,froh/
fʁyː1,früh/
fuː1s,Fu/ß
fʊ1ŋk,Fu/nk
fyː1ln,füh/len
fʏ1ln,fü/llen
fʏ1nf,fü/nf
ɡa1ʁtn,Ga/rten
ɡeː1bm,ge/ben
ɡaː1p,ga/b
ɡaɛ1st,Gei/st
ɡa1nts,ga/nz
ɡɛ1lp,ge/lb
