1aːbmt,/Abend
1aːb0ɛmt,/Ab/end
1aɛntsl,/Einzel
1aɛzn,/Eisen
1ɛsn,/essen
1ɪnzl,/Insel
1oːbm,/oben
1ɔʁɡl,/Orgel
1ʊntn,/unten
1aːʁt,/Art
1aːʁtst,/Arzt
1aɛ,/Ei
1aɛn,/ein
1aɛs,/Eis
1akt,/Akt
1als,/als
1alt,/alt
1am,/am
1aŋst,/Angst
1aɔf,/auf
1aɔs,/aus
1aɔx,/auch
1aʁm,/Arm
1aʁtst,/Arzt
1axt,/acht
b1iːtn,b/ieten
b1oːdn,B/oden
b1aɛ,b/ei
b1aɛn,B/ein
b1aŋk,B/ank
b1ɛnt,B/and
b1ɛʁk,B/erg
b1ɛt,B/ett
b1ɪlt,B/ild
b1ɪs,b/is
b1ɪt,B/it
bl1aɔ,bl/au
bl1at,Bl/att
bl1ɔk,Bl/ock
bʁ1aɛt,br/eit
bʁ1aɔn,br/aun
b1uːx,B/uch
d1ɛŋkŋ,d/enken
d1aː,d/a
d1iː,d/ie
d1iːs,d/ies
d1ɪk,d/ick
d1ɔʁf,D/orf
dʁ1ʏkŋ,dr/ücken
dʁ1aːt,Dr/aht
dʁ1aɛ,dr/ei
d1ʊʁç,d/urch
f1ɔlɡŋ,f/olgen
f1aɛn,f/ein
f1aln,f/allen
f1alʃ,f/alsch
f1aŋ,F/ang
f1ɛlt,F/eld
f1iːl,f/iel
f1ɪlts,F/ilz
f1ɪʃ,F/isch
fl1iːɡŋ,fl/iegen
fl1iːsn,fl/ießen
flʏ1ːɡl,Fl/ügel
f1ɔn,v/on
fʁ1aɔ,Fr/au
fʁ1oː,fr/oh
fʁʏ1ː,fr/üh
f1uːs,F/uß
f1ʊŋk,F/unk
fʏ1ːln,f/ühlen
f1ʏln,f/üllen
f1ʏnf,f/ünf
ɡ1aʁtn,G/arten
ɡ1eːbm,g/eben
ɡ1aːp,g/ab
ɡ1aɛst,G/eist
ɡ1ants,g/anz
ɡ1ɛlp,g/elb
ɡ1ɛlt,G/eld
ɡ1ɪŋ,g/ing
ɡl1aɔbm,gl/auben
ɡl1ants,Gl/anz
ɡʁ1aːs,Gr/as
ɡʁ1aːt,Gr/ad
ɡʁ1oːs,gr/oß
ɡʁ1ʊnt,Gr/und
ɡʁʏ1ːn,gr/ün
h1ɔfn,h/offen
hʏ1ːɡl,H/ügel
h1aɛs,h/eiß
h1aɔpt,H/aupt
h1aɔt,H/aut
h1at,h/at
h1ɛʁts,H/erz
h1oːx,h/och
h1ɔlts,H/olz
h1ʊnt,H/und
2ɪm,/im
2ɪn,/in
1ɪst,/ist
ʝ1aː,j/a
ʝ1aːʁ,J/ahr
ʝ1eː,j/e
ʝ1ʊŋ,j/ung
k1astn,K/asten
k1uːɡl,K/ugel
kl1aɛdn,kl/eiden
kl1aːʁ,kl/ar
kn1ɔxn,Kn/ochen
kʁ1iːk,Kr/ieg
k1uː,K/uh
k1ʊʁs,K/urs
k1ʊʁts,k/urz
l1aɔfn,l/aufen
l1eːzn,l/esen
lø1ːzn,l/ösen
l1ant,L/and
l1aɔt,l/aut
l1ɛʁm,L/ärm
l1iːt,L/ied
l1ɪçt,L/icht
l1ʊft,L/uft
m1aːln,m/alen
m1an,M/ann
m1aʁkt,M/arkt
m1ɛnʃ,M/ensch
m1ɪt,m/it
m1ʊnt,M/und
m1ʊs,m/uss
n1aːx,n/ach
n1axt,N/acht
n1ɪçts,n/ichts
nɔœ1,n/eu
nɔœ1n,n/eun
n1ɔx,n/och
1oː,/oh
p1aːʁ,P/aar
pf1ʊnt,Pf/und
pl1aːn,Pl/an
ʁ1aɛfn,R/eifen
ʁ1eːɡl,R/egel
ʁ1eːɡln,r/egeln
ʁ1ɛst,R/est
ʁ1oːt,r/ot
st1ɪk,St/ick
stʁ1ɛtʃ,Str/etch
ʃ1aŋs,Ch/ance
ʃ1ɑ̃ːs,Ch/ance
ʃl1ɛçt,schl/echt
ʃn1ɛl,schn/ell
ʃn1ɪt,Schn/itt
ʃp1aːs,Sp/aß
ʃp1iːl,Sp/iel
ʃp1iːln,sp/ielen
ʃpʁ1ɛçn,spr/echen
ʃʁ1aɛbm,schr/eiben
ʃʁ1iːp,schr/ieb
ʃt1aʁk,st/ark
ʃt1aʁt,St/art
