a1,a/
a0βa1xo0,a/ba/jo/
a0βje1ɾta0,a/bie/rta/
a0βɾi1ɣo0,a/bri/go/
a2ka0βa1ðo0,a/ca/ba/do/
a2θe0i1te0,a/ce/i/te/
a0θe1ɾka0,a/ce/rca/
a0θe1ɾo0,a/ce/ro/
a0ko1ɾðe0,a/co/rde/
a1kto0,a/cto/
a1ktwa0l,a/ctua/l
a0kwe1ɾðo0,a/cue/rdo/
a2ðe0kwa1ða0,a/de/cua/da/
a2ðe0la1nte0,a/de/la/nte/
a2ði0βi1na0ɾ,a/di/vi/na/r
a1ɣwa0,a/gua/
a0ɣu1ðo0,a/gu/do/
a2ɣu0xe1ɾo0,a/gu/je/ro/
a0o1ɾa0,a/ho/ra/
a0i1ɾe0,a/i/re/
a1la0,a/la/
a0la1mbɾe0,a/la/mbre/
a0lka1nθe0,a/lca/nce/
a2le0ɣɾi1a0,a/le/gría/
a0lgo1ðo0n,a/lgo/dó/n
a0lgu1no0s,a/lgu/no/s
a2li0me1nto0s,a/li/me/nto/s
a0li1βja0ɾ,a/li/via/r
a1lto0,a/lto/
a1ma0ɾ,a/ma/r
a2ma0ɾi1ʎo0,a/ma/ri/llo/
a1mbo0s,a/mbo/s
a0mi1ɣo0,a/mi/go/
a1mpljo0,a/mplio/
a0ni1ʎo0,a/ni/llo/
a0ni1ma0l,a/ni/ma/l
a1nte0s,a/nte/s
a0ɲa1ði0ɾ,a/ña/di/r
a1ɲo0s,a/ño/s
a0pa2ɾe0θe1ɾa0,a/pa/re/ce/rá/
a0po1ʝo0,a/po/yo/
a0pɾe1nde0ɾ,a/pre/nde/r
a1ki0,a/qu/í/
a1ɾβo0l,á/rbo/l
a0ɾe1na0,a/re/na/
a1ɾte0,a/rte/
a0sθe1nso0,a/sce/nso/
a0sθe1nso0ɾ,a/sce/nso/r
a1si0,a/sí/
a0sje1nto0,a/sie/nto/
a0to1mo0,á/to/mo/
a0u2me0nta1ndo0,a/u/me/nta/ndo/
a2u0me1nta0ɾ,a/u/me/nta/r
a1u0n,a/ú/n
a0u1ŋke0,a/u/nque/
a0u1to0,a/u/to/
a0βi1so0,a/vi/so/
a0ʝu1ða0ɾ,a/yu/da/r
a0θu1ka0ɾ,a/zú/ca/r
a1θu0l,a/zu/l
ba1xo0,ba/jo/
ba1ŋko0,ba/nco/
ba1nda0,ba/nda/
ba1ɾko0,ba/rco/
ba1ra0,ba/rra/
ba0si1ko0,bá/si/co/
ba0sta1nte0,ba/sta/nte/
ba1te0,ba/te/
ba1ti0ɾ,ba/ti/r
be1βe0,be/bé/
be0βi1ða0,be/bi/da/
be0ʎe1θa0,be/lle/za/
bi1t,bi/t
bla1ŋko0,bla/nco/
blo1ke0,blo/que/
bo1ka0,bo/ca/
bo1la0,bo/la/
bo1ɾðe0,bo/rde/
bo1ɾðo0,bo/rdo/
bo1ske0,bo/sque/
bɾa1θo0,bra/zo/
bɾe1tʃa0,bre/cha/
bɾi0ʎa1nte0,bri/lla/nte/
bɾi1ʎo0,bri/llo/
bwe1na0,bue/na/
bu1ke0,bu/que/
bu1ska0ɾ,bu/sca/r
bu0ske1ða0,bú/sque/da/
ka0βa1ʎo0,ca/ba/llo/
ka0βe1θa0,ca/be/za/
ka1ða0,ca/da/
ka0ðe1na0,ca/de/na/
ka1e0ɾ,ca/e/r
ka1xa0,ca/ja/
ka0lje1nte0,ca/lie/nte/
ka1ʎe0,ca/lle/
ka1lo0ɾ,ca/lo/r
ka1ma0,ca/ma/
ka1mbjo0,ca/mbio/
ka0mi1na0ɾ,ca/mi/na/r
ka0mi1no0,ca/mi/no/
ka1mjo0n,ca/mió/n
ka2mpa0me1nto0,ca/mpa/me/nto/
ka0mpa1na0,ca/mpa/na/
ka1mpo0,ca/mpo/
ka1nθjo0n,ca/nció/n
ka1nta0ɾ,ca/nta/r
ka1pa0θ,ca/pa/z
ka0pi1ta0n,ca/pi/tá/n
ka2ptu0ɾa1ðo0,ca/ptu/ra/do/
