a1,a/
a0ɗu1i0,a/du/i/
a0i1na0,a/i/na/
a0ʄa1ɓu0,a/ja/bu/
a0ka0a0ᵑgu1ka0,a/ka/a/ngu/ka/
a0ka0e1ⁿɗa0,a/ka/e/nda/
a0ka0o0ne0ka1na0,a/ka/o/ne/ka/na/
a0ki1li0,a/ki/li/
a0la1ma0,a/la/ma/
a0li0a0ⁿɗi1ka0,a/li/a/ndi/ka/
a0li0a1ⁿza0,a/li/a/nza/
a0li0tʃu0ku1a0,a/li/chu/ku/a/
a0li0fa1ɲa0,a/li/fa/nya/
a0li0ʄu1a0,a/li/ju/a/
a0li0ku1ʄa0,a/li/ku/ja/
a0li0ku1wa0,a/li/ku/wa/
a0li0mtu1ma0,a/li/mtu/ma/
a0li0se1ma0,a/li/se/ma/
a0li0si0ma1ma0,a/li/si/ma/ma/
a0li0to1a0,a/li/to/a/
a0li0je0za0li1wa0,a/li/ye/za/li/wa/
a1ma0,a/ma/
a0ᵐɓa1o0,a/mba/o/
a0ᵐɓa1po0,a/mba/po/
a0ᵐɓa1jo0,a/mba/yo/
a0me0ke1ti0,a/me/ke/ti/
a0mi1ni0,a/mi/ni/
a1ᵑga0,a/nga/
a0ᵑga0la1u0,a/nga/la/u/
a1ɾɗhi0,a/rdhi/
a0si1li0,a/si/li/
a0ska1ɾi0,a/ska/ri/
a0su0ɓu1hi0,a/su/bu/hi/
a0ta0ku1wa0,a/ta/ku/wa/
a0θa1ɾi0,a/tha/ri/
a1u0,a/u/
a0wa1li0,a/wa/li/
a1ja0,a/ya/
ɓa0a1ɗa0,ba/a/da/
ɓa0a1ɗhi0,ba/a/dhi/
ɓa1ɓa0,ba/ba/
ɓa0ɗa1la0,ba/da/la/
ɓa1ɗo0,ba/do/
ɓa0ha1ɾi0,ba/ha/ri/
ɓa0ⁿɗa1ɾi0,ba/nda/ri/
ɓa1ɾa0,ba/ra/
ɓa0ɾa0ɓa1ɾa0,ba/ra/ba/ra/
ɓa0ɾa1fu0,ba/ra/fu/
ɓa0ɾi1ɗi0,ba/ri/di/
ɓa0ɾu1a0,ba/ru/a/
ɓa1si0,ba/si/
ɓa1ta0,ba/ta/
ɓe1ɠa0,be/ga/
ɓe1ⁿɗi0,be/ndi/
ɓe1nki0,be/nki/
ɓi0a0ʃa1ɾa0,bi/a/sha/ra/
ɓi0ɗha1a0,bi/dha/a/
ɓi0na0ɗa1mu0,bi/na/da/mu/
ɓi0na1fsi0,bi/na/fsi/
ɓlu1u0,blu/u/
ɓo1ɗi0,bo/di/
ɓo1ⁿɗe0,bo/nde/
ɓo1ɾa0,bo/ra/
ɓu0ⁿɗu1ki0,bu/ndu/ki/
ɓu1ɾe0,bu/re/
ɓu0sta1ni0,bu/sta/ni/
tʃa1tʃe0,cha/che/
tʃa0ku1la0,cha/ku/la/
tʃa1ma0,cha/ma/
tʃa1ti0,cha/ti/
tʃe1ᵐɓe0,che/mbe/
tʃe0mtʃe1mi0,che/mche/mi/
tʃi1ni0,chi/ni/
tʃo0tʃo1te0,cho/cho/te/
tʃo1ᵐɓo0,cho/mbo/
tʃu1ma0,chu/ma/
tʃu1ᵐɓa0,chu/mba/
tʃu1ᵐvi0,chu/mvi/
tʃu1pa0,chu/pa/
ɗa0i1ma0,da/i/ma/
ɗa0ki1ka0,da/ki/ka/
ɗa0kta1ɾi0,da/kta/ri/
ɗa1mu0,da/mu/
ɗa0ɾa1sa0,da/ra/sa/
ɗha0ha1ɓu0,dha/ha/bu/
ɗi0ɾi1ʃa0,di/ri/sha/
ɗo1a0,do/a/
ɗo1la0,do/la/
ɗu1ka0,du/ka/
ɗu0ni1a0,du/ni/a/
e1lfu0,e/lfu/
e0ne1o0,e/ne/o/
fa0i1ni0,fa/i/ni/
fa0mi0li1a0,fa/mi/li/a/
fa0ɾa1si0,fa/ra/si/
fe1ɗha0,fe/dha/
fi1ᵐɓo0,fi/mbo/
fu0ɾa1ha0,fu/ra/ha/
ɠa1ⁿɗa0,ga/nda/
ɠa1ni0,ga/ni/
ɠa1ɾi0,ga/ri/
ɠe1si0,ge/si/
ɠha1fla0,gha/fla/
ɠha0ɾa1ma0,gha/ra/ma/
ɠi1za0,gi/za/
ɠu1mzo0,gu/mzo/
ɠu0ɾu0ɗu1mu0,gu/ru/du/mu/
ha0ɓa1ɾi0,ha/ba/ri/
ha0ɗi1θi0,ha/di/thi/
ha1ʄa0,ha/ja/
ha1ki0,ha/ki/
ha0ku1na0,ha/ku/na/
ha1li0,ha/li/
ha0li1si0,ha/li/si/
ha1pa0,ha/pa/
ha0ɾa1ka0,ha/ra/ka/
ha0ɾu1fu0,ha/ru/fu/
ha1sa0,ha/sa/
ha0si1ɾa0,ha/si/ra/
ha1ta0,ha/ta/
ha0ta1ɾi0,ha/ta/ri/
ha0tu1a0,ha/tu/a/
ha0wa0ku0pa1ta0,ha/wa/ku/pa/ta/
ha1ja0,ha/ya/
he1wa0,he/wa/
hi1i0,hi/i/
hi0sto0ɾi1a0,hi/sto/ri/a/
hi1vjo0,hi/vyo/
ho1fu0,ho/fu/
ho1ʄa0,ho/ja/
ho0tu1ɓa0,ho/tu/ba/
